# longitude   latitude
-115.200000  36.170000
-111.680000  35.220000
-108.550000  39.080000
-96.770000  32.770000
-93.050000  34.520000
-86.780000  36.170000
-82.450000  27.950000
-81.670000  30.370000
-75.970000  36.850000
-77.030000  38.880000
-75.170000  39.950000
-73.750000  42.670000
-71.180000  46.820000
-75.720000  45.400000
-86.170000  39.770000
-94.580000  39.100000
-100.350000  44.370000
-100.780000  46.800000
-105.520000  50.620000
-113.470000  53.570000
-114.020000  51.020000
-122.330000  47.620000
-119.820000  39.500000
